Batch,Cost
1,0.5907979418649891
2,0.5775156220179563
3,0.4909608513425169
4,0.5336807762017678
5,0.5462059255149049
6,0.47875539912158854
7,0.5550369299469652
8,0.5200604751318523
9,0.5009483098112917
10,0.48781284123269986
11,0.4921449689229566
12,0.4594321662435257
13,0.4994170792507971
14,0.4880954209602207
15,0.4791744259834415
16,0.4733101774463465
17,0.47636829215414045
18,0.46519780056953797
19,0.4788523712869257
20,0.48569195541319266
21,0.4723713608413134
22,0.44869679719356015
23,0.45413838353640235
24,0.4341596649031432
25,0.46211773377396326
26,0.4582516642774825
27,0.43938116290732476
28,0.4673601923019398
29,0.4238520948570337
30,0.4227903123515132
31,0.4274960452338158
32,0.4571297852895292
33,0.40502747848371884
34,0.4209823374099982
35,0.39784640045613306
36,0.4006085236580261
37,0.4269888133430216
38,0.3982890306174548
39,0.41202876758621043
40,0.40894089894672997
41,0.4366463836965796
42,0.40084394536410256
43,0.38599201671429834
44,0.3765901721496745
45,0.3762778746006245
46,0.3520524761538604
47,0.3855302867145927
48,0.4054642257866635
49,0.38519366232441327
50,0.3602028635887399
51,0.41912899121981867
52,0.4003309751683355
53,0.3467492916399327
54,0.38784576378301283
55,0.38234558362276516
56,0.390221960968327
57,0.37147811228277744
58,0.36650633131228466
59,0.361487125327868
60,0.35211129628065424
61,0.3407520102589927
62,0.3396035704721947
63,0.36615822314173846
64,0.36608580026089127
65,0.36875038221244594
66,0.3387597197610359
67,0.34637862492717814
68,0.3749993432889809
69,0.3346090253825482
70,0.3119044796261577
71,0.3705659482579627
72,0.3454565288743027
73,0.3029837578698206
74,0.30767739451056925
75,0.3400869988548299
76,0.33782894539751035
77,0.34363300575313055
78,0.32562964512571185
79,0.31327405214464327
80,0.31956655554806707
81,0.32326701614551917
82,0.3210309421014946
83,0.33969187449714705
84,0.30526655356588134
85,0.32023041528370505
86,0.346794865655455
87,0.3313958940439813
88,0.3366232339219929
89,0.31101307121570976
90,0.31904722822443604
91,0.3172444349416689
92,0.2845484513323191
93,0.3106251148482069
94,0.29818292201630286
95,0.3456513560348482
96,0.29727385041391696
97,0.30872319816744254
98,0.29507228603553054
99,0.2938526981412023
100,0.29043143962026774
101,0.27319023929342745
102,0.2810199595740651
103,0.26135978957046246
104,0.25800632182177785
105,0.2699021189518732
106,0.3081576867546675
107,0.3220414798534808
108,0.2956928259859313
109,0.28933059007417256
110,0.2924493357078006
111,0.22838738204138945
112,0.26162610469682407
113,0.25851571692972136
